language,title,temperature,LLM,sent_count,token_count,token_by_sent,noun_count,noun_count_u,noun_ttr,verb_count,verb_count_u,verb_ttr,adj_count,adj_count_u,adj_ttr,Lex_hdd,Lex_vocd,Lex_mattr,Lex_mtld
Korean,자연 보존과 자연 개발,Low,GPT4.1,14,432,30.85714286,161,88,0.12652404,31,14,0.104540024,8,4,0.115740741,0.740234643,44.27392083,0.751227154,56.21138474
Korean,자연 보존과 자연 개발,Low,GPT4.1,15,406,27.06666667,149,89,0.147122029,30,17,0.139573071,4,4,0.246305419,0.7448729,45.77466862,0.746554622,55.1871969
Korean,자연 보존과 자연 개발,Low,GPT4.1,16,445,27.8125,173,96,0.124699617,22,10,0.102145046,7,4,0.128410915,0.748756845,46.71345046,0.751262626,58.56343137
Korean,자연 보존과 자연 개발,Low,GPT4.1,13,402,30.92307692,148,86,0.144547533,36,18,0.124378109,5,4,0.199004975,0.742916962,45.06493373,0.758866856,51.33221769
Korean,자연 보존과 자연 개발,Low,GPT4.1,19,513,27,187,112,0.116750581,41,19,0.090334237,11,7,0.124047492,0.763202864,51.82707595,0.777974138,65.73420333
Korean,자연 보존과 자연 개발,Low,GPT4.1,11,367,33.36363636,139,80,0.156822771,24,11,0.124886467,3,1,0.090826521,0.732840807,42.52303132,0.75754717,51.5662594
Korean,자연 보존과 자연 개발,Low,GPT4.1,12,380,31.66666667,143,80,0.1472212,28,14,0.131578947,4,2,0.131578947,0.740825529,44.4608462,0.739154079,52.82955242
Korean,자연 보존과 자연 개발,Low,GPT4.1,17,461,27.11764706,177,101,0.123779061,28,16,0.123954137,7,4,0.123954137,0.755521047,48.83369554,0.765776699,62.61449053
Korean,자연 보존과 자연 개발,Low,GPT4.1,12,362,30.16666667,127,77,0.16748597,35,19,0.149960537,3,3,0.276243094,0.747250829,46.62581056,0.756613419,61.12028986
Korean,자연 보존과 자연 개발,Low,GPT4.1,13,385,29.61538462,145,86,0.154052844,22,10,0.118063754,8,4,0.12987013,0.750393713,47.35959057,0.764404762,59.79131664
Korean,자연 보존과 자연 개발,Middle,GPT4.1,15,425,28.33333333,160,96,0.141176471,32,14,0.102941176,6,6,0.235294118,0.756524289,49.2685364,0.767712766,62.61187402
Korean,자연 보존과 자연 개발,Middle,GPT4.1,16,425,26.5625,166,96,0.136073707,32,18,0.132352941,7,5,0.168067227,0.768058975,53.60920137,0.775638298,61.02384843
Korean,자연 보존과 자연 개발,Middle,GPT4.1,14,423,30.21428571,164,100,0.144150378,25,14,0.132387707,7,3,0.101317123,0.751096489,47.48890447,0.749304813,60.42857143
Korean,자연 보존과 자연 개발,Middle,GPT4.1,18,516,28.66666667,188,105,0.108238496,41,20,0.094535829,6,4,0.129198966,0.756634805,49.32300305,0.766423983,63.38793103
Korean,자연 보존과 자연 개발,Middle,GPT4.1,15,453,30.2,162,96,0.130815142,39,22,0.124525952,9,4,0.098111356,0.758113262,50.01943431,0.755742574,56.49743649
Korean,자연 보존과 자연 개발,Middle,GPT4.1,15,467,31.13333333,173,102,0.126251686,42,19,0.096869583,9,4,0.095170117,0.753213011,47.93749463,0.768755981,59.11931945
Korean,자연 보존과 자연 개발,Middle,GPT4.1,14,378,27,142,80,0.149042403,26,10,0.101750102,7,4,0.15117158,0.739107428,43.71386762,0.747234043,53.35958254
Korean,자연 보존과 자연 개발,Middle,GPT4.1,14,373,26.64285714,146,92,0.16893753,22,16,0.194979283,8,5,0.167560322,0.771857228,54.6662518,0.782592593,68.20182851
Korean,자연 보존과 자연 개발,Middle,GPT4.1,15,470,31.33333333,168,105,0.132978723,38,19,0.106382979,6,4,0.141843972,0.770987932,54.51092278,0.786223278,71.76043933
Korean,자연 보존과 자연 개발,Middle,GPT4.1,17,450,26.47058824,166,97,0.129852744,33,18,0.121212121,3,3,0.222222222,0.763959029,51.8442682,0.759800499,56.95048421
Korean,자연 보존과 자연 개발,High,GPT4.1,20,531,26.55,198,131,0.124598147,39,20,0.096576368,15,10,0.125549278,0.796033802,64.6412744,0.790622407,64.07669668
Korean,자연 보존과 자연 개발,High,GPT4.1,20,539,26.95,212,129,0.112892498,31,15,0.089771979,6,5,0.154607297,0.771227185,54.58385483,0.768938776,64.37538715
Korean,자연 보존과 자연 개발,High,GPT4.1,16,532,33.25,203,120,0.111115226,33,16,0.091136933,14,7,0.093984962,0.765907434,52.20198902,0.787867495,70.29046784
Korean,자연 보존과 자연 개발,High,GPT4.1,20,538,26.9,219,136,0.115428358,29,18,0.115369824,10,7,0.130111524,0.795862132,65.0087104,0.798445808,75.73742924
Korean,자연 보존과 자연 개발,High,GPT4.1,18,505,28.05555556,196,127,0.128308749,37,19,0.101685844,8,6,0.148514851,0.79250032,63.68753025,0.787368421,63.52181684
Korean,자연 보존과 자연 개발,High,GPT4.1,18,561,31.16666667,211,130,0.109824197,38,21,0.098508303,15,9,0.106951872,0.777134693,57.43659376,0.773125,62.86157425
